"isg_osm_id","conn_isg_osm_id","cur_fc","conn_fc","highway_id","conn_highway_id","countyid","conn_countyid","region","conn_region","roadwaytype_id","conn_roadwaytype_id","conn_count","conn_ncc_pcc","cur_lanes","conn_lanes","cur_maxspeed","conn_maxspeed","cur_final_place","conn_final_place","volume","conn_volume","conn_tag"
32215673003,32215673002,1,1,1,1,94,94,10,10,10,10,1,2,2,2,55,55,locality,locality,2824,3281,prev
46189288001,166038501001,2,2,3,3,84,84,11,11,10,10,2,1,3,2,35,35,neighbourhood,neighbourhood,1228,-1,next
20110634001,20110634002,1,1,2,2,42,42,4,4,16,16,2,1,1,1,25,25,town,town,229,-1,next
987686553001,962631300001,1,1,1,1,83,83,11,11,12,12,1,2,3,3,50,50,city,city,3255,3725,prev
5647861001,5642412001,1,1,1,2,76,76,1,1,10,16,2,1,2,1,55,25,town,town,412,7,next
124369932003,124369932004,1,1,1,1,42,42,4,4,10,10,2,1,3,3,55,55,city,city,3901,-1,next
28772519001,352006365001,1,1,2,2,92,92,10,10,16,16,1,2,1,2,25,25,village,village,292,1740,prev
20197226001,448596015005,1,1,2,1,68,68,8,8,16,10,1,2,1,2,40,55,town,town,44,1145,prev
20168829001,20168829002,2,2,3,3,48,48,3,3,10,10,2,1,2,2,45,45,town,town,329,166,next
20110520001,20119682005,1,1,2,1,42,42,4,4,16,10,1,2,1,2,25,65,town,town,38,923,prev
20111109001,124369903002,1,1,2,1,42,42,4,4,16,10,1,2,1,3,25,55,town,town,837,4437,prev
12719627001,40118581001,1,1,2,1,57,57,9,9,16,10,1,2,1,2,25,65,town,town,5,-1,prev
11876164001,587061810001,1,1,2,1,89,89,11,11,16,10,1,2,1,3,25,50,city,city,1694,4181,prev
50050071001,1049853431001,1,1,1,1,87,87,8,8,10,10,1,2,2,2,55,55,village,village,2688,2791,prev
420885960002,420885960003,3,3,5,5,83,83,11,11,10,10,2,1,3,3,25,25,city,city,893,767,next
665663815001,33774215001,1,1,1,1,34,34,5,5,10,10,1,2,3,3,55,55,town,town,1564,2138,prev
44164413001,195743216001,3,3,5,5,84,84,11,11,10,10,1,2,4,3,25,25,neighbourhood,neighbourhood,174,-1,prev
998158620664001,99944814348001,3,3,5,5,90,90,8,8,1,1,2,1,1,1,55,55,town,town,52,-1,next
5709074001,1001322976001,1,1,2,1,83,83,11,11,16,10,1,2,1,3,25,50,city,city,416,3707,prev
998385011579001,109341391001,2,2,3,4,80,80,1,1,1,16,2,1,1,1,55,55,town,town,185,-1,next
43149231001,292318012001,3,3,5,5,55,55,3,3,12,10,2,1,4,4,30,30,city,city,927,-1,next
5695805001,75118038001,1,1,2,1,89,89,11,11,16,10,1,2,1,3,25,50,city,city,880,3965,prev
24141779001,180663062001,1,1,2,1,86,86,8,8,16,10,1,2,1,3,25,65,town,town,42,-1,prev
5700479001,539226006001,1,1,2,2,83,83,11,11,16,16,1,2,1,1,25,25,city,city,1376,2208,prev
254756153001,835815569032,2,2,4,3,86,86,8,8,16,10,1,2,1,3,40,45,town,town,204,-1,prev
5700173001,5700829001,1,1,2,2,83,83,11,11,16,16,2,1,1,1,25,25,city,city,1819,1381,next
337817800001,20174841001,3,1,5,2,94,94,10,10,10,16,2,1,2,1,50,55,locality,locality,567,-1,next
20120910001,249531650001,1,1,2,2,55,55,3,3,16,16,2,1,2,1,35,45,city,city,829,313,next
374192795003,20063906001,1,1,1,1,90,90,8,8,10,10,2,1,2,1,55,55,town,town,202,-1,next
99868338638003,99868338638002,3,3,5,5,82,82,11,11,1,1,1,2,2,2,25,25,city,city,513,613,prev
5700578001,999038462001,1,1,2,1,83,83,11,11,16,10,1,2,1,3,25,50,city,city,443,3238,prev
1028525293001,20111297001,3,3,5,6,42,42,4,4,10,16,2,1,2,1,55,40,town,town,647,56,next
183103645001,84829615001,1,1,1,1,78,78,11,11,12,10,2,1,3,2,50,50,city,city,4442,-1,next
414746383001,1049640883001,1,1,2,2,84,84,11,11,18,18,2,1,2,2,30,30,neighbourhood,neighbourhood,2251,1914,next
